Hot_chr	Hot_start	Hot_end	Hot_GC	Min_rec	Mean_rec	Max_rec	hot_count_Western	hot_count_A1	hot_count_E1	hot_count_Pt1	hot_count_total	Cold_chr	Cold_start	Cold_end	Cold_GC	Min_rec	Mean_rec	Max_rec	cold_count_Western	cold_count_A1	cold_count_E1	cold_count_Pt1	cold_count_total
chr1	7522000	7526000	57.54	0.00	6.9501517448322	15.1870405405404	2	2	0	0	4	chr1	7574001	7578000	57.65	14.95	0.00484718049795629	0.0048525282073571	0	0	0	0	0
chr1	7594000	7596000	40.03	0.00	11.0886985733368	15.3990818965522	0	0	0	0	0	chr1	7619001	7621000	40.75	0	0.310732553357991	0.320715027584344	0	0	0	0	0
chr1	7697000	7700000	52.82	0.00	4.59128722512004	7.19337002096426	0	1	1	0	2	chr1	7679001	7682000	53.2966666666667	11.3	0.161467448378492	0.161469738652078	0	1	1	1	3
chr1	7861000	7864000	43.39	0.00	4.54991565875789	15.8855221674874	2	1	0	1	4	chr1	7780001	7783000	43.4666666666667	0	0.20956385666945	0.209678815822423	2	1	0	1	4
chr1	7893000	7895000	37.98	0.00	3.29005671644071	3.31766666666268	0	0	0	0	0	chr1	7808001	7810000	37.9	0	0.301495628889603	0.390534510313621	3	1	0	1	5
chr1	7964000	7968000	46.14	25.47	9.42367588346357	9.43942007992011	1	0	0	2	3	chr1	8055001	8059000	46.32	21.275	0.00452619180506581	0.00453038863583161	0	0	0	1	1
chr1	7981000	7983000	48.18	0.00	4.72584547780007	4.77605066079265	1	1	1	0	3	chr1	7970001	7972000	47.705	10.2	0.220929996236385	0.220929996236385	0	0	0	0	0
chr1	8041000	8045000	47.51	0.00	4.95760451790713	7.92939080459699	0	0	0	0	0	chr1	7971001	7975000	47.15	0	0.221663355504015	0.221784983622439	1	0	0	0	1
chr1	8078000	8080000	42.64	0.50	0.952501102474359	8.32128179551167	0	0	0	0	0	chr1	8166001	8168000	42.67	12.7	0.173292407312892	0.194054776898356	0	1	1	2	4
chr1	8196000	8197000	51.85	0.00	11.8812331284195	44.1305000001648	0	0	0	0	0	chr1	8225001	8226000	51.8	0	0.192064101882843	0.192249287749908	0	0	0	0	0
chr1	8284000	8286000	48.28	0.00	5.58655746972776	7.00640909090825	1	0	0	1	2	chr1	8236001	8238000	48.15	0	0.45604204313595	0.837320400795126	0	0	1	0	1
chr1	8936000	8937000	49.25	0.00	20.2305870410977	32.70965003723	1	2	0	0	3	chr1	8991001	8992000	49.3	0	0.00168032239928668	0.00168888889473035	0	0	0	0	0
chr1	8974000	8975000	53.55	0.00	4.29383055501682	23.4593333334487	0	0	0	0	0	chr1	9056001	9057000	54.04	1	0.000439944113078864	0.000473684227280931	0	1	0	0	1
chr1	9049000	9054000	50.99	12.08	2.68988030349472	9.78106882591054	0	1	0	0	1	chr1	8954001	8959000	51.12	0	0.0739037563313844	0.0739638601888826	2	0	1	0	3
chr1	9203000	9204000	47.75	0.00	0.750081635767087	3.14193939393728	0	0	0	0	0	chr1	9140001	9141000	47.7	0	0.257099683544392	0.257099683544392	0	0	0	0	0
chr1	9320000	9323000	46.35	0.00	9.08967980523281	15.0591094462541	0	1	0	1	2	chr1	9373001	9376000	46.6	0	0.243660153117516	0.264793255225914	1	0	0	0	1
chr1	9347000	9350000	52.19	0.33	4.47465869650393	15.6672992125955	0	0	1	0	1	chr1	9291001	9294000	52.3666666666667	0	0.000360141060761928	0.000363252307586208	0	0	1	0	1
chr1	9493000	9494000	55.84	0.00	1.7271481193076	3.17220430107198	0	0	0	0	0	chr1	9455001	9456000	55.76	1	0.0796536031872462	0.0796699321776842	0	0	0	0	0
chr1	9882000	9884000	51.67	0.00	8.40684714615277	8.52870964749576	0	0	0	1	1	chr1	9859001	9861000	51.65	0	0.366188629811448	0.366954809706523	0	0	0	1	1
chr1	9961000	9963000	43.78	0.00	11.5635376240635	12.7329302670616	0	0	0	1	1	chr1	9916001	9918000	43.78	0.5	0.297361549078225	0.304299999999976	0	0	0	0	0
chr1	9979000	9981000	46.48	0.00	15.9986300958986	21.9641627907042	0	0	0	0	0	chr1	9925001	9927000	46.55	0	0.402709876543331	0.402709876543331	0	0	0	0	0
chr1	10117000	10119000	48.43	0.00	4.14845016936198	13.7959999999566	0	0	0	0	0	chr1	10026001	10028000	48.35	0	0.00102000191328842	0.00102071975520467	0	2	0	0	2
chr1	10178000	10181000	47.75	0.00	17.1287406379506	18.4471607717043	0	0	0	0	0	chr1	10169001	10172000	47.7433333333333	3.2	0.300549460951741	0.391309396299693	0	0	1	0	1
chr1	10278000	10281000	42.42	0.00	10.156083776619	10.2246213235296	2	0	0	0	2	chr1	10270001	10273000	42.4	0	0.216401887772795	0.220043426193681	3	0	2	0	5
chr1	10944000	10946000	54.82	0.00	6.6884315366223	6.68959340659817	0	2	0	0	2	chr1	10914001	10916000	54.84	21.7	0.333777612272277	0.334764890016583	0	0	0	0	0
chr1	11100000	11102000	41.03	0.00	20.2898438015804	48.7521600000036	0	0	0	0	0	chr1	11179001	11181000	41.695	18.25	0.0988956647558623	0.0989402447804175	0	0	0	0	0
chr1	11568000	11572000	50.19	14.35	14.8285198932475	23.8662902219139	0	0	0	0	0	chr1	11666001	11670000	50.0475	11.1	0.224906263104316	0.2724298133007	0	1	2	0	3
chr1	11681000	11682000	51.75	0.00	0.422755629608785	8.23795081966681	0	0	0	0	0	chr1	11683001	11684000	51.9	0	0.0014398857654734	0.00144999999065476	0	0	0	0	0
chr1	11852000	11855000	63.55	0.37	11.1897481358028	16.3023505154642	0	0	0	0	0	chr1	6246						0	0	0	0	0
chr1	12005000	12008000	53.62	0.00	6.50595006045674	7.58704205607875	0	2	0	0	2	chr1	12087001	12090000	53.1	0	0.00919158693098829	0.00922873225345063	0	0	0	0	0
chr1	12060000	12063000	47.62	0.00	4.73687020751397	8.68431062124232	1	0	0	0	1	chr1	12125001	12128000	48.6	23.8666666666667	0.287800034328799	0.287800034328799	0	0	0	0	0
chr1	12750000	12754000	45.26	0.00	12.554879933028	15.3999411764637	0	0	0	1	1	chr1	12846001	12850000	45.25	0	0.0016198483168259	0.0017534314173306	2	0	1	0	3
chr1	12797000	12799000	49.23	9.65	1.1732235935103	3.97547368421376	0	0	0	0	0	chr1	12733001	12735000	48.73	0.5	0.226490286771369	0.226490286771369	0	0	0	0	0
chr1	12858000	12860000	46.58	0.00	25.8667098980036	25.8667499999774	0	0	0	0	0	chr1	12892001	12894000	46.65	0	0.0606656637154668	0.0608716022015725	1	0	0	0	1
chr1	12941000	12945000	37.69	0.00	4.59221704795221	49.3750400000014	0	1	0	0	1	chr1	12963001	12967000	37.0625	9.825	0.0154801407005278	0.0154801407005278	0	0	0	0	0
chr1	13567000	13569000	43.79	28.79	0.582911436916998	3.21289962825279	1	0	0	0	1	chr1	13539001	13541000	43.65	0	0.426218140266054	0.6235	0	0	1	0	1
chr1	13595000	13597000	45.73	0.00	4.94760246132939	6.50218181818181	0	0	0	0	0	chr1	13546001	13548000	45.75	0	0.0770730523002059	0.0986805401397823	0	1	1	0	2
chr1	13676000	13679000	47.62	0.00	19.9575444044818	25.9965652173919	1	1	1	0	3	chr1	13743001	13746000	47.2666666666667	0	0.554450116336908	0.557330386149904	2	0	1	2	5
chr1	13702000	13707000	40.25	0.00	11.8070478059623	40.4195263157904	1	0	0	2	3	chr1	13695001	13700000	39.802	0.2	0.267170012435604	0.267170012435604	1	2	0	1	4
chr1	13985000	13988000	39.72	16.69	10.7769931195312	10.7943699509249	0	0	0	0	0	chr1	13993001	13996000	39.79	19.2666666666667	0.181407442096808	0.183260057098362	0	0	0	0	0
chr1	14095000	14101000	47.06	15.55	7.2572591480832	7.25752307692329	0	0	0	0	0	chr1	7999						0	0	0	0	0
chr1	14347000	14348000	42.36	0.00	3.88992709249763	5.61584878048784	2	0	1	0	3	chr1	14427001	14428000	42.2	0	0.403433350444088	0.406289205702595	0	0	0	0	0
chr1	14407000	14409000	42.38	0.00	13.8308119618857	38.0395166666669	1	0	2	0	3	chr1	14449001	14451000	42.45	0	0.00646169989338407	0.00654519851977888	0	0	0	0	0
chr1	14453000	14456000	39.12	0.00	2.86048848110038	3.20655018867927	0	0	0	0	0	chr1	14386001	14389000	39	0	0.378000283062193	0.384670084447916	1	0	0	0	1
chr1	14810000	14813000	48.18	0.00	14.3756911173813	29.11363157895	1	3	1	0	5	chr1	14763001	14766000	47.9333333333333	0	0.439912507640329	0.884774487780665	1	0	0	0	1
chr1	14982000	14984000	47.68	0.00	7.53916042878294	42.5157611940286	0	0	1	0	1	chr1	15040001	15042000	47.7	0	0.506610485794666	0.506797297297502	1	0	0	0	1
chr1	15332000	15334000	39.63	0.00	19.5211676445305	49.9252004662005	0	0	0	0	0	chr1	15423001	15425000	40.7	0	0.159220079830786	0.159640430507545	0	0	0	0	0
chr1	15425000	15429000	43.34	8.87	3.94411251933158	8.78234044616861	0	1	0	1	2	chr1	15406001	15410000	43.7	0	0.502792481420267	0.584040140884824	1	0	0	0	1
chr1	15449000	15453000	49.16	0.00	2.10762332450212	3.27550163934485	1	1	2	0	4	chr1	15481001	15485000	48.4	0	0.353212085084206	0.364672544231136	0	0	0	0	0
chr1	15582000	15584000	52.86	26.74	5.22476666051746	7.37978030302987	0	0	0	0	0	chr1	15518001	15520000	53.05	0	0.0231300697187029	0.0231301824209923	0	0	0	0	0
chr1	15688000	15691000	51.12	0.00	3.50780990154325	3.73163984018257	3	2	0	1	6	chr1	15780001	15783000	51.0333333333333	0	0.511020575615981	0.511659965399307	0	1	0	1	2
chr1	16205000	16207000	60.72	0.00	1.663103401531	4.07114124293856	0	0	2	0	2	chr1	16236001	16238000	60.55	0	0.284830626951937	0.284869804408944	0	1	0	0	1
chr1	16538000	16541000	41.39	0.33	10.9378299695911	10.93783	0	0	0	0	0	chr1	16518001	16521000	41.3333333333333	0	0.00143985422843867	0.00144040494450174	0	0	0	0	0
chr1	16936000	16938000	55.67	0.00	49.0273798106568	49.0274090909111	1	0	0	0	1	chr1	16979001	16981000	55.35	0	0.0839987854705913	0.090522048733213	1	1	0	0	2
chr1	16963000	16966000	58.65	0.00	15.5300223558472	17.5766000000067	0	1	0	0	1	chr1	16989001	16992000	57.6266666666667	0.333333333333333	0.00489991764116731	0.00490021383007152	0	0	0	0	0
chr1	17178000	17181000	40.92	0.33	7.13745059942843	9.58007984790871	0	0	0	0	0	chr1	17141001	17144000	40.7666666666667	0	0.485160096153828	0.485160096153828	0	0	0	0	0
chr1	17537000	17542000	49.59	11.98	9.05299846431195	11.4299001331558	0	0	2	0	2	chr1	17455001	17460000	49.214	0.2	0.0152401867238225	0.0153001825548604	0	0	1	0	1
chr1	17844000	17845000	52.65	0.00	2.58097573238837	4.75352816901295	0	0	0	0	0	chr1	17897001	17898000	52.6	0	0.0120797614195882	0.0120799999996962	0	1	0	1	2
chr1	17848000	17850000	50.77	0.00	1.09819643984454	12.5222083333306	1	0	0	0	1	chr1	17862001	17864000	50.75	0	0.193063300404283	0.194029470152954	0	0	0	0	0
chr1	17986000	17990000	48.76	0.00	3.54246336129969	5.84546153845622	2	2	1	1	6	chr1	18085001	18089000	48.65	0	0.102317649999745	0.102594676892594	1	0	3	0	4
chr1	17997000	18000000	45.42	42.92	22.6433258298279	37.3941199794027	0	0	0	0	0	chr1	18054001	18057000	45.6	0	0.308872712004334	0.661322519677952	2	0	0	0	2
chr1	18016000	18021000	47.75	0.00	3.22708002598691	6.71774986862846	0	0	1	1	2	chr1	17975001	17980000	47.66	0	0.0830338301577522	0.0840664865268854	1	1	1	4	7
chr1	18335000	18337000	53.47	0.00	3.61835907585035	8.46505012531336	0	1	0	0	1	chr1	18356001	18358000	53.6	0	0.00354994656121049	0.00355028463029357	1	0	0	0	1
chr1	18431000	18435000	48.61	0.00	13.3791026247308	15.63458823529	0	0	0	0	0	chr1	18477001	18481000	48.675	0	0.349265181634919	0.569872055422715	1	1	0	1	3
chr1	18513000	18517000	51.64	0.00	17.0910173534206	19.0279565217383	0	0	0	0	0	chr1	18608001	18612000	51.425	0	0.212585551012292	0.212762557325507	0	0	0	0	0
chr1	18658000	18660000	58.81	7.80	7.04402278231783	15.3952215384617	0	0	0	0	0	chr1	12354						0	0	0	0	0
chr1	18679000	18682000	48.62	0.00	8.14396897527394	17.4019301204823	0	1	2	1	4	chr1	18614001	18617000	48.6666666666667	0	0.210785607945558	0.21087707475547	0	0	0	0	0
chr1	18833000	18835000	46.38	0.00	24.4999546613295	30.2892000000005	1	0	1	0	2	chr1	18861001	18863000	46.045	19.2	0.40374481596499	0.403956037043779	0	0	0	0	0
chr1	18886000	18888000	49.83	27.49	2.86705766133932	3.26325724637647	0	0	0	0	0	chr1	18952001	18954000	49.9	0	0.598719867748653	0.598719867748653	0	0	0	0	0
chr1	18924000	18926000	49.85	1.35	11.1188763463261	15.1256543209866	0	0	0	0	0	chr1	18891001	18893000	49.815	21.35	0.462113871221711	0.501222680816144	1	0	0	0	1
chr1	18954000	18955000	54.05	0.00	2.33684229035071	16.8411428571419	0	0	0	0	0	chr1	18989001	18990000	54.1	0	0.358996971323656	0.359590113285251	0	0	0	0	0
chr1	19050000	19053000	49.05	0.00	6.19115521965746	7.30518978102172	0	1	0	0	1	chr1	19142001	19145000	49.1666666666667	0	0.403929800221957	0.403929800221957	1	0	2	0	3
chr1	19076000	19079000	47.22	0.00	15.859057738118	25.3801209016393	0	0	1	1	2	chr1	19039001	19042000	46.9333333333333	0	0.0121545808553909	0.0123399475851751	1	1	0	0	2
chr1	19346000	19348000	60.22	0.00	5.05893947887479	9.59199999988414	1	1	0	1	3	chr1	19420001	19422000	60	0	0.229846032482282	0.237279980178345	1	0	0	1	2
chr1	19531000	19533000	49.23	0.00	7.7215372855655	33.0956112852675	1	0	2	0	3	chr1	19555001	19557000	49.15	0	0.215270408170982	0.218059819413143	0	0	1	0	1
chr1	19607000	19608000	42.66	0.00	0.430093427976489	4.90504166666976	0	0	0	0	0	chr1	19627001	19628000	42.7	0	0.00396032972684455	0.00396032972684455	0	0	0	0	0
chr1	19755000	19756000	44.66	0.00	0.464580558476972	6.85123999999632	0	0	0	0	0	chr1	19803001	19804000	44.7	0	0.236220016852373	0.236220016852373	0	0	0	0	0
chr1	19828000	19835000	49.05	17.61	11.6982700436099	11.6982830188719	0	0	1	1	2	chr1	19816001	19823000	48.7385714285714	0.142857142857143	0.392435849382271	0.421031085491335	0	2	4	0	6
chr1	19879000	19880000	50.35	0.00	2.37547113282346	5.25878682170627	0	0	0	0	0	chr1	19875001	19876000	50.3	0	0.0223268084499975	0.0225294117680117	0	0	0	0	0
chr1	19881000	19884000	45.22	0.00	9.65125749343511	26.7898513513525	0	0	0	0	0	chr1	19944001	19947000	45.0666666666667	0	0.21781641586008	0.529462794349646	2	1	1	1	5
chr1	20029000	20031000	39.33	0.00	17.2857387988668	30.1980666666471	0	0	0	0	0	chr1	19954001	19956000	39.4	0	0.248050913608233	0.605360158241665	0	0	0	0	0
chr1	20049000	20051000	45.93	0.00	8.22268206543796	16.4227572815558	0	1	0	0	1	chr1	20013001	20015000	46.05	0	0.346878805309973	0.349390374331683	0	0	0	0	0
chr1	20408000	20410000	51.57	0.00	9.18318153035634	44.708061452514	0	0	0	0	0	chr1	20444001	20446000	51.6	0	0.0681828073127873	0.068244750176963	0	0	1	0	1
chr1	20423000	20425000	53.27	0.00	0.948941124863276	3.35196103896167	0	1	0	1	2	chr1	20459001	20461000	52.95	0	0.161056176543704	0.161509643026637	0	1	0	0	1
chr1	20490000	20494000	51.41	6.90	4.35492394661966	5.73850000000005	2	0	0	0	2	chr1	20396001	20400000	51.475	0	0.364865664382091	0.366385118770429	2	0	0	0	2
chr1	20515000	20517000	44.32	7.55	3.54310006838387	3.54310006838387	0	0	0	0	0	chr1	20441001	20443000	44.45	0	0.0683601789708893	0.0683601789708893	0	0	0	0	0
chr1	20695000	20696000	46.95	0.00	0.421376548935967	8.54633695653122	0	1	1	0	2	chr1	20673001	20674000	47	0	0.1307400924704	0.1307400924704	0	0	0	0	0
chr1	21941000	21943000	47.68	4.20	3.20756119179993	5.69185981308404	0	0	0	0	0	chr1	21967001	21969000	47.65	0	0.187188354851635	0.187570212765957	0	0	0	0	0
chr1	23200000	23201000	43.86	0.00	1.88573592781907	3.50695180722859	0	0	0	0	0	chr1	23189001	23190000	43.77	9.3	0.0200399880632639	0.0200399880632639	0	0	0	0	0
chr1	23228000	23229000	33.97	0.00	1.53353207983334	5.41129999999991	0	0	0	0	0	chr1	23233001	23234000	34	0	0.00141994003516214	0.0014214123007202	0	0	0	0	0
chr1	23582000	23583000	50.35	0.00	0.309173481825391	5.02728712871259	0	0	0	0	0	chr1	23590001	23591000	50.3	0	0.000750000741245912	0.000752336448823652	0	0	0	0	0
chr1	24147000	24149000	34.73	0.00	2.44644299469156	5.43305806451621	0	0	0	0	0	chr1	24172001	24174000	34.75	0	0.242045360555129	0.322001670587243	2	1	0	2	5
chr1	24393000	24395000	42.33	0.00	8.6852787544591	15.4329708737856	0	0	0	0	0	chr1	24395001	24397000	42.2	0	0.616442833563223	0.636674588761818	0	0	0	1	1
chr1	24503000	24505000	39.93	0.00	3.94583201226862	8.87302173913069	0	0	0	0	0	chr1	24492001	24494000	38.95	0	0.000240174895204857	0.000242101974460657	0	0	0	0	0
chr1	24620000	24623000	39.97	0.03	8.11979213197293	9.46813976945256	0	0	0	0	0	chr1	24627001	24630000	39.8	0	0.0787821597140607	0.0788568964225418	0	1	0	0	1
chr1	24798000	24800000	48.33	0.00	4.28094285754757	5.94454430379848	0	0	0	1	1	chr1	24782001	24784000	48.35	0	0.408221800159868	0.408350123456734	0	0	0	0	0
chr1	25393000	25395000	49.28	0.00	6.03793833738439	7.34956000000238	0	0	0	0	0	chr1	25349001	25351000	49	0	0.460442518098416	0.803244547573203	0	1	0	0	1
chr1	25512000	25513000	43.96	0.00	1.57217123697	3.1876699999998	1	0	0	0	1	chr1	25489001	25490000	44	0	0.517135444725881	0.605600000000134	0	0	0	0	0
chr1	26361000	26367000	48.63	0.00	14.84820549976	17.2718658536585	1	1	0	0	2	chr1	26304001	26310000	48.6133333333333	8	0.150112338374513	0.177561516341069	0	1	1	1	3
chr1	26434000	26438000	49.46	0.00	2.53002911142861	4.97391014492749	0	0	0	0	0	chr1	26531001	26535000	49.3	0	0.0628597868093939	0.0629126404476193	1	1	1	0	3
chr1	26565000	26566000	52.75	0.00	1.27651915927445	13.0923846153818	0	0	0	0	0	chr1	26595001	26596000	52.8	0	0.286783362362069	0.286910094637241	0	1	0	0	1
chr1	26892000	26894000	43.43	13.69	1.38733387060532	8.24271428571462	1	0	0	0	1	chr1	26889001	26891000	43.44	10.8	0.559879901496493	0.559879901496493	0	0	0	0	0
chr1	26983000	26984000	43.66	0.00	0.497160752372698	4.67437735849088	0	1	1	0	2	chr1	26972001	26973000	43.7	0	0.108599746675114	0.108599746675114	0	0	0	0	0
chr1	27416000	27419000	52.98	0.00	22.1918196196878	34.6913533834581	1	0	0	0	1	chr1	27366001	27369000	52.8666666666667	0	0.230866406464428	0.327223548058546	1	0	0	0	1
chr1	27495000	27496000	42.26	0.00	0.560181668031877	3.2955770609321	0	0	0	0	0	chr1	27442001	27443000	42.3	0	0.116342766377488	0.122319955406952	0	1	0	0	1
chr1	27949000	27950000	42.26	0.00	0.667385864992663	3.45920905923347	0	0	0	0	0	chr1	27997001	27998000	42.3	0	0.0138857173423971	0.0371895043734147	0	0	0	0	0
chr1	28052000	28054000	44.45	0.50	3.75862049867113	4.00357014388496	0	1	0	1	2	chr1	27995001	27997000	44.45	0	0.390761348012855	0.545390302674332	0	0	0	0	0
chr1	29113000	29115000	48.38	0.00	5.69815372943109	10.0288692232054	1	0	0	0	1	chr1	29090001	29092000	48.26	18.8	0.322769863690651	0.344889847715745	1	0	0	0	1
chr1	29714000	29716000	53.77	0.00	2.5841570309466	4.65454999999793	0	1	0	0	1	chr1	29685001	29687000	53.7	0	0.393654228868783	0.415102173577221	0	0	0	0	0
chr1	29781000	29784000	54.83	1.00	15.0479688049557	17.4078705882333	0	0	1	0	1	chr1	29709001	29712000	55.3666666666667	20.4333333333333	0.43238748401843	0.473133384804644	0	1	3	0	4
chr1	29792000	29795000	55.55	0.00	4.4632144989449	10.7621818181817	1	2	0	0	3	chr1	29774001	29777000	55.3466666666667	7.86666666666667	0.000850008644842271	0.000850543900343713	0	1	2	1	4
chr1	29813000	29814000	59.64	0.00	0.586449258489955	4.09470921985826	0	0	0	0	0	chr1	29777001	29778000	57.9	0	0.000850154638016748	0.000852459016726149	0	0	0	0	0
chr1	29957000	29958000	52.15	0.00	0.757517933497466	6.51736046511637	0	0	0	0	0	chr1	30014001	30015000	52.2	0	0.224933539316023	0.280589743589752	0	0	0	0	0
chr1	29972000	29975000	50.18	0.00	3.43469649879673	10.0894123989218	0	0	0	0	0	chr1	30064001	30067000	50.0333333333333	0	0.415157038522364	0.692134724191189	1	0	0	2	3
chr1	29985000	29987000	53.32	0.00	1.81250604524276	4.23284255319152	0	0	0	0	0	chr1	29960001	29962000	53.2	0	0.00280000159220721	0.00280789473684055	0	0	0	1	1
chr1	30087000	30090000	55.99	9.53	6.07264687216859	15.1762058823525	0	0	1	1	2	chr1	30142001	30145000	56.0066666666667	12.7333333333333	0.564740277938323	0.567150028894041	0	0	0	0	0
chr1	30172000	30174000	37.83	0.00	9.61857548022318	17.1801803278689	0	0	0	0	0	chr1	30095001	30097000	38.15	0	0.442596155569363	0.590527307605545	0	0	0	0	0
chr1	30210000	30213000	45.16	65.61	13.55268006292	13.5526803435115	0	0	0	0	0	chr1	30113001	30116000	44.5333333333333	0	0.105764077269197	0.10625364030273	0	0	0	1	1
chr1	30408000	30409000	54.29	63.94	1.61213095185161	8.63595238095167	0	0	0	0	0	chr1	30454001	30455000	54.1	0	0.117940520446109	0.117940520446109	0	0	0	0	0
chr1	30631000	30633000	56.07	0.00	1.36233479321359	6.58948076923375	0	0	0	0	0	chr1	30572001	30574000	56.25	0	0.191094886093308	0.227489834448616	0	0	0	0	0
chr1	30706000	30709000	55.71	4.37	19.9050200768716	19.9051999999938	0	1	0	0	1	chr1	30722001	30725000	55	0	0.526338148547108	0.550326774910106	0	0	0	0	0
chr1	30774000	30775000	52.85	0.00	1.22077284716811	10.0112926829253	0	0	0	0	0	chr1	30815001	30816000	52.8	0	0.109365836261637	0.110489795917824	0	0	0	0	0
chr1	30873000	30874000	54.65	0.00	6.97647014622683	13.9368005578801	0	0	0	0	0	chr1	30883001	30884000	54.6	0	0.00576989826447019	0.00576989826447019	0	0	1	0	1
chr1	30934000	30936000	48.28	0.00	3.41944182685052	5.73491304347677	0	0	0	0	0	chr1	30991001	30993000	48.6	0	0.28009181605581	0.440174505326636	0	0	0	0	0
chr1	31006000	31007000	63.35	14.69	3.40576051143639	10.8279195402304	0	0	0	0	0	chr1	31068001	31069000	63.8	0	0.476019454924538	0.512880769230879	0	0	0	0	0
chr1	31045000	31049000	51.76	0.00	15.985422495828	15.9956666667161	0	0	0	1	1	chr1	31038001	31042000	51.51	0.25	0.521325149587633	1.46922402264698	0	1	0	0	1
chr1	31147000	31150000	50.95	0.00	5.66544121264847	9.87526041666647	0	0	0	0	0	chr1	31141001	31144000	50.9	0.333333333333333	0.00511520418187972	0.00513729674326442	0	0	1	0	1
chr1	31244000	31245000	61.84	0.00	6.77456373723744	17.8241863636365	0	1	1	0	2	chr1	31180001	31181000	62	0	0.0604399688517656	0.0604399688517656	0	0	0	0	0
chr1	31446000	31449000	46.59	22.33	3.87074096642004	3.96610004631769	0	0	0	0	0	chr1	31468001	31471000	46.5333333333333	0	0.0887615336289237	0.0902233024300361	0	0	0	0	0
chr1	31769000	31774000	52.69	1.70	5.807670035385	7.18595953002615	0	0	0	0	0	chr1	31820001	31825000	52.48	9.14	0.495751865291884	0.659230289696909	0	0	1	0	1
chr1	32063000	32064000	54.15	28.97	0.77207816692287	3.49662886597936	0	0	0	0	0	chr1	32074001	32075000	54	0	0.197160101652001	0.197160101652001	0	0	0	0	0
chr1	32429000	32431000	47.78	0.00	2.09384764305003	10.2346250000096	0	1	0	0	1	chr1	32373001	32375000	47.7	0	0.222666284241904	0.29022338238948	0	0	0	0	0
chr1	33090000	33092000	39.18	0.00	10.1218904962826	11.2190000000005	0	0	0	0	0	chr1	33066001	33068000	39.155	16.5	0.118036500783077	0.169698741788122	1	0	0	0	1
chr1	33402000	33405000	47.15	21.06	6.60055639014696	6.60579999999982	0	0	0	0	0	chr1	33414001	33417000	47.1666666666667	0	0.270364966604804	0.270533309988074	1	3	0	3	7
chr1	33614000	33616000	46.93	0.00	7.45229257266427	21.8644502564102	1	2	1	1	5	chr1	33709001	33711000	47.1	0	0.233641956259854	0.239090391459062	0	0	1	0	1
